454233579,INFO,2017/11/10,00:00:49.642,Nov,Thu,19.8,1022.55,0.1647,0.79,0.017,4.788,49.613,52.6765,192.168.1.200,
454293888,INFO,2017/11/10,00:01:49.951,Nov,Thu,19.8,1022.54,0.1584,0.708,0.017,4.792,50.1071,51.6852,192.168.1.200,
454354187,INFO,2017/11/10,00:02:50.250,Nov,Thu,19.8,1022.54,0.1611,0.774,0.017,4.784,50.0083,52.0891,192.168.1.200,
454414486,INFO,2017/11/10,00:03:50.549,Nov,Thu,19.8,1022.57,0.1682,0.786,0.015,4.784,50.1071,51.3181,192.168.1.200,
454474785,INFO,2017/11/10,00:04:50.848,Nov,Thu,19.8,1022.6,0.1556,0.73,0.017,4.792,49.613,55.0629,192.168.1.200,
454535084,INFO,2017/11/10,00:05:51.147,Nov,Thu,19.8,1022.57,0.1675,0.78,0.015,4.788,49.613,52.0523,192.168.1.200,
454595383,INFO,2017/11/10,00:06:51.446,Nov,Thu,19.8,1022.59,0.1431,0.77,0.017,4.784,49.7118,52.0891,192.168.1.200,
454655682,INFO,2017/11/10,00:07:51.745,Nov,Thu,19.7,1022.59,0.1662,0.724,0.016,4.788,50.0964,51.7109,192.168.1.200,
454715981,INFO,2017/11/10,00:08:52.044,Nov,Thu,19.7,1022.62,0.1702,0.764,0.015,4.78,49.7012,51.8577,192.168.1.200,
454776280,INFO,2017/11/10,00:09:52.343,Nov,Thu,19.7,1022.55,0.1703,0.792,0.015,4.784,50.0964,52.1513,192.168.1.200,
454836579,INFO,2017/11/10,00:10:52.642,Nov,Thu,19.7,1022.69,0.1696,0.812,0.016,4.788,49.8988,52.8488,192.168.1.200,
454896878,INFO,2017/11/10,00:11:52.941,Nov,Thu,19.7,1022.64,0.147,0.77,0.017,4.788,49.7012,52.5551,192.168.1.200,
454957177,INFO,2017/11/10,00:12:53.240,Nov,Thu,19.7,1022.63,0.1596,0.764,0.017,4.78,49.6024,52.2615,192.168.1.200,
455017476,INFO,2017/11/10,00:13:53.539,Nov,Thu,19.7,1022.69,0.1469,0.754,0.017,4.784,49.9976,51.4906,192.168.1.200,
455077775,INFO,2017/11/10,00:14:53.838,Nov,Thu,19.7,1022.69,0.1667,0.8,0.017,4.78,50.0964,52.2982,192.168.1.200,
455138074,INFO,2017/11/10,00:15:54.137,Nov,Thu,19.7,1022.72,0.1694,0.812,0.017,4.788,50.0964,54.0601,192.168.1.200,
455198373,INFO,2017/11/10,00:16:54.436,Nov,Thu,19.7,1022.66,0.1661,0.78,0.016,4.788,49.8988,51.3805,192.168.1.200,
455258672,INFO,2017/11/10,00:17:54.735,Nov,Thu,19.7,1022.69,0.1678,0.73,0.016,4.788,49.9976,52.1881,192.168.1.200,
455318971,INFO,2017/11/10,00:18:55.034,Nov,Thu,19.7,1022.72,0.1536,0.744,0.017,4.792,49.7012,51.9678,192.168.1.200,
455379270,INFO,2017/11/10,00:19:55.333,Nov,Thu,19.7,1022.74,0.1659,0.796,0.016,4.788,49.3554,53.2158,192.168.1.200,
455439569,INFO,2017/11/10,00:20:55.632,Nov,Thu,19.7,1022.74,0.1696,0.748,0.015,4.792,49.6024,52.0412,192.168.1.200,
455499868,INFO,2017/11/10,00:21:55.931,Nov,Thu,19.7,1022.72,0.1502,0.754,0.017,4.788,49.9976,51.564,192.168.1.200,
455560166,INFO,2017/11/10,00:22:56.230,Nov,Thu,19.7,1022.72,0.169,0.81,0.016,4.784,49.8988,52.3349,192.168.1.200,
455620465,INFO,2017/11/10,00:23:56.529,Nov,Thu,19.7,1022.7,0.1674,0.73,0.017,4.788,50.0964,50.3894,192.168.1.200,
